Repository,PR #,Title,State,Created At,Merged At,Closed At,Additions,Deletions,Net Lines,URL
dataverse-vintedgo-dbt,7200,chore: new service names for postnord-SE,OPEN,2026-02-04,,,97,15,82,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7200
dataverse-vintedgo-dbt,7199,feat: propogate invoice_id by file for postnord-se,OPEN,2026-02-04,,,82,1,81,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7199
dataverse-vintedgo-finance,215,chore: replace jeremy.chia in alerts with georgi.evlogiev,MERGED,2026-02-04,2026-02-04,2026-02-04,6,12,-6,https://github.com/vinted/dataverse-vintedgo-finance/pull/215
dataverse-vintedgo-dbt,7198,chore: remove jeremy.chia from alerts,MERGED,2026-02-04,2026-02-04,2026-02-04,18,19,-1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7198
dataverse-vintedgo-finance,213,fix: time-zone aware cases,MERGED,2026-02-03,2026-02-03,2026-02-03,18,10,8,https://github.com/vinted/dataverse-vintedgo-finance/pull/213
dataverse-vintedgo-dbt,7186,fix: royal mail ingestor for backfills,MERGED,2026-02-03,2026-02-03,2026-02-03,48,8,40,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7186
dataverse-vintedgo-finance,212,feat: Add --execute_as_at parameter for MEC cutoff logic to enable Airflow backfills,MERGED,2026-02-03,2026-02-03,2026-02-03,41,11,30,https://github.com/vinted/dataverse-vintedgo-finance/pull/212
dataverse-vintedgo-dbt,7185,chore: add AT-POST to carrier mapping,MERGED,2026-02-03,2026-02-03,2026-02-03,4,3,1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7185
dataverse-vintedgo-dbt,7184,refactor: replace DATA_INTERVAL_END with current_date() in incremental model business logic (vgo_finance),OPEN,2026-02-03,,,35,46,-11,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7184
dataverse-vintedgo-looker,3738,chore: deprecate carrier contract prices and dashboard,MERGED,2026-02-03,2026-02-03,2026-02-03,0,694,-694,https://github.com/vinted/dataverse-vintedgo-looker/pull/3738
dataverse-vintedgo-dbt,7183,chore: deprecate carrier contract prices changes,MERGED,2026-02-03,2026-02-03,2026-02-03,0,703,-703,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7183
