pr_number,title,repository,repository_full,state,author,created_at,updated_at,closed_at,comments_count,labels,label_count,days_open,url,body_length,year_month,year,month,quarter,is_merged,is_closed,is_open
1,test,getground-candidate-task,jeremychia/getground-candidate-task,merged,jeremychia,2023-05-22 18:46:04+00:00,2023-05-22 18:46:18+00:00,2023-05-22 18:46:18+00:00,0,,0,0,https://github.com/jeremychia/getground-candidate-task/pull/1,0,2023-05,2023,5,Q2 2023,True,False,False
10957,Documentation additions for set-up guide (dbvisualiser.md),warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-08-17 09:30:49+00:00,2023-08-30 08:15:54+00:00,2023-08-30 08:15:53+00:00,0,,0,12,https://github.com/vinted/warehouse-jobs/pull/10957,73,2023-08,2023,8,Q3 2023,True,False,False
10969,Documentation additions - set-up for DBeaver,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-08-17 12:49:49+00:00,2023-08-21 13:00:06+00:00,2023-08-18 08:44:51+00:00,3,,0,0,https://github.com/vinted/warehouse-jobs/pull/10969,454,2023-08,2023,8,Q3 2023,True,False,False
11013,Fix to image rendering on Documentation Guide,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-08-21 13:03:01+00:00,2023-08-22 06:52:26+00:00,2023-08-22 06:52:25+00:00,2,,0,0,https://github.com/vinted/warehouse-jobs/pull/11013,93,2023-08,2023,8,Q3 2023,True,False,False
11030,Add Email Verification dimensions into the User,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-08-22 15:45:25+00:00,2023-08-31 15:30:37+00:00,2023-08-31 13:40:27+00:00,6,,0,8,https://github.com/vinted/warehouse-jobs/pull/11030,424,2023-08,2023,8,Q3 2023,True,False,False
11123,Add documentation in ItemDimensions,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-08-29 13:10:13+00:00,2023-08-29 14:26:45+00:00,2023-08-29 14:26:44+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11123,526,2023-08,2023,8,Q3 2023,True,False,False
2013,Adding new dimensions to views for User Register and Registration Verification,lookml,vinted/lookml,merged,jeremychia,2023-08-30 15:44:06+00:00,2023-09-01 14:17:33+00:00,2023-09-01 14:17:31+00:00,1,,0,1,https://github.com/vinted/lookml/pull/2013,436,2023-08,2023,8,Q3 2023,True,False,False
2016,New measures in item_upload_feedback_batch_view,lookml,vinted/lookml,merged,jeremychia,2023-08-31 11:34:00+00:00,2023-08-31 11:39:25+00:00,2023-08-31 11:39:24+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2016,174,2023-08,2023,8,Q3 2023,True,False,False
2019,Correction of measure types in item_upload_feedback_batch_view,lookml,vinted/lookml,merged,jeremychia,2023-08-31 12:59:18+00:00,2023-08-31 13:12:02+00:00,2023-08-31 13:12:01+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2019,84,2023-08,2023,8,Q3 2023,True,False,False
11159,Remove offending test issues from CucumberTest,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-08-31 14:45:49+00:00,2023-08-31 15:41:40+00:00,2023-08-31 15:29:08+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11159,102,2023-08,2023,8,Q3 2023,True,False,False
11161,Remove ignore from EmailVerificationDimension test,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-08-31 16:00:55+00:00,2023-09-01 07:38:36+00:00,2023-09-01 07:38:35+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11161,151,2023-08,2023,8,Q3 2023,True,False,False
2023,Add earliest and latest local date for ItemUploadFeedbacks,lookml,vinted/lookml,merged,jeremychia,2023-09-01 08:43:09+00:00,2023-09-05 06:52:53+00:00,2023-09-05 06:52:52+00:00,0,,0,3,https://github.com/vinted/lookml/pull/2023,70,2023-09,2023,9,Q3 2023,True,False,False
2041,Expose braze custom events report,lookml,vinted/lookml,closed,jeremychia,2023-09-06 14:09:46+00:00,2023-09-06 14:18:59+00:00,2023-09-06 14:18:59+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2041,267,2023-09,2023,9,Q3 2023,False,True,False
11313,Adds listingFactCols to list for readability,warehouse-jobs,vinted/warehouse-jobs,closed,jeremychia,2023-09-12 09:54:40+00:00,2023-09-12 18:01:40+00:00,2023-09-12 18:01:40+00:00,2,,0,0,https://github.com/vinted/warehouse-jobs/pull/11313,95,2023-09,2023,9,Q3 2023,False,True,False
11334,Adding HighValueFashionUserDimensions,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-09-13 10:05:30+00:00,2023-09-22 14:18:30+00:00,2023-09-22 14:18:29+00:00,4,,0,9,https://github.com/vinted/warehouse-jobs/pull/11334,571,2023-09,2023,9,Q3 2023,True,False,False
