metric,value
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
review_metrics_avg_reviewers_per_pr,0.0
review_metrics_avg_review_comments_per_pr,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
review_metrics_avg_reviewers_per_pr,0.0
review_metrics_avg_review_comments_per_pr,0.0
distributions_repositories_vinted/dataverse-vintedgo-finance,3
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
review_metrics_avg_reviewers_per_pr,0.0
review_metrics_avg_review_comments_per_pr,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
review_metrics_avg_reviewers_per_pr,0.0
review_metrics_avg_review_comments_per_pr,0.0
distributions_repositories_vinted/dataverse-vintedgo-finance,3
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
code_metrics_avg_additions_per_pr,21.666666666666668
code_metrics_avg_deletions_per_pr,11.0
review_metrics_avg_reviewers_per_pr,0.0
review_metrics_avg_review_comments_per_pr,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
summary_total_prs,3
summary_merged_prs,0
summary_closed_prs,0
summary_open_prs,3
summary_merge_rate,0.0
code_metrics_total_additions,65
code_metrics_total_deletions,33
code_metrics_net_changes,32
code_metrics_total_files_changed,0
